map_name	utterance	trajectory	path_names	path_idxs
ann-arbor	in this environmental is area e good and very aesthetic view of surrounding area i feel like living area very happy and well living place. nature is always beauty. environmental atmosphere well	Tios Mexican Cafe|Hunter House|Pita Kabob Grill|The Cube	9|5|3|10	path_260.png
ann-arbor	Starting from Tios Mexican Cafe go to Hunter House then to Pita Kabob Grill then to The Cube	Tios Mexican Cafe|Hunter House|Pita Kabob Grill|The Cube	9|5|3|10	path_260.png
ann-arbor	From Tios Mexican Cafe, go to Hunter House. Then go to Pita Kabob Grill. Next go to The Cube.	Tios Mexican Cafe|Hunter House|Pita Kabob Grill|The Cube	9|5|3|10	path_260.png
ann-arbor	Commence at State Theater then proceed west to Noodles and Company.	State Theater|Ashley's Ann Arbor|Pita Kabob Grill	11|6|3	path_261.png
ann-arbor	From State Theater go to Ashley's Ann Arbor. Then go to Pita Kabob Grill.	State Theater|Ashley's Ann Arbor|Pita Kabob Grill	11|6|3	path_261.png
ann-arbor	Start on State Theater then go west to Pita Kabob Grill.	State Theater|Ashley's Ann Arbor|Pita Kabob Grill	11|6|3	path_261.png
ann-arbor	FROM  HUNTER HOUSE FLY NORTH TO PITA KABOB GRILL TURNING 2 OCLOCK TO STATE THEATER	Hunter House|Pita Kabob Grill|Noodles & Company|State Theater	5|3|7|11	path_262.png
ann-arbor	Start on Hunter House then north to Pita Kabob Grill then east to Noodles & Company then east to State Theater.	Hunter House|Pita Kabob Grill|Noodles & Company|State Theater	5|3|7|11	path_262.png
ann-arbor	Go North to Pita Kabob Grill	Hunter House|Pita Kabob Grill|Noodles & Company|State Theater	5|3|7|11	path_262.png
ann-arbor	From Pita Kabob Grill go to The Cube.	Pita Kabob Grill|The Cube	3|10	path_265.png
ann-arbor	from the pita kabob grill go south west to get to the cube.	Pita Kabob Grill|The Cube	3|10	path_265.png
ann-arbor	Starting at Pita Kabob Grill, go to The Cube and stop.	Pita Kabob Grill|The Cube	3|10	path_265.png
ann-arbor	Head west to hunter house	Begob|Hunter House|Pita Kabob Grill|Ashley's Ann Arbor	14|5|3|6	path_266.png
ann-arbor	FROM BEGOB GO 5 OCLOCK TO HUNTER HOUSE AND THAN NORTH TO PITA KABOB GRILL	Begob|Hunter House|Pita Kabob Grill|Ashley's Ann Arbor	14|5|3|6	path_266.png
ann-arbor	Go straight then right then left	Begob|Hunter House|Pita Kabob Grill|Ashley's Ann Arbor	14|5|3|6	path_266.png
ann-arbor	Start on Good Time Charley's then go south to Shapiro Library then northwest to Quad, Willard.	Good Time Charley's|Shapiro Library|East Quad, Willard	0|2|1	path_268.png
ann-arbor	From Good Time Charley's, go to Shapiro Library. Then go to East Quad Willard.	Good Time Charley's|Shapiro Library|East Quad, Willard	0|2|1	path_268.png
ann-arbor	Go right then left then right then left	Good Time Charley's|Shapiro Library|East Quad, Willard	0|2|1	path_268.png
ann-arbor	Start on Pita Kabob Grill then west to Begob then northwest to Shapiro Library.	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Begob|Shapiro Library	6|4|3|14|2	path_270.png
ann-arbor	Starting at Ashley's Ann Arbor, go to State Street Liquors, then go to Pita Kabob Grill, then go to Begob, then end at Shapiro Library.	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Begob|Shapiro Library	6|4|3|14|2	path_270.png
ann-arbor	Start at State street liquors, head south to Pita kabob grill, then head north west to Begob. Once at Begob head north to Shapiro Library.	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Begob|Shapiro Library	6|4|3|14|2	path_270.png
ann-arbor	Start on Shapiro Library then go south to Begob then east to Pita Kabob Grill then west to The Cube.	Shapiro Library|Begob|State Street Liquors|Ashley's Ann Arbor|Pita Kabob Grill|The Cube	2|14|4|6|3|10	path_271.png
ann-arbor	Start at Shapiro Library and go southeast to reach Begob. From there, go east to arrive at State Street Liquors. Then, go southwest to get to The Cube.	Shapiro Library|Begob|State Street Liquors|Ashley's Ann Arbor|Pita Kabob Grill|The Cube	2|14|4|6|3|10	path_271.png
ann-arbor	in this environmental is area e good and very aesthetic view of surrounding area i feel like living area very happy and well living place. nature is always beauty. environmental atmosphere well	Shapiro Library|Begob|State Street Liquors|Ashley's Ann Arbor|Pita Kabob Grill|The Cube	2|14|4|6|3|10	path_271.png
ann-arbor	begin at state street liquors, and then come down to pita kabob grill, and then a little further down to hunter house. from hunter house, go right and further down until you reach tios mexican cafe.	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Hunter House|Tios Mexican Cafe	6|4|3|5|9	path_272.png
ann-arbor	Start on Pita Kabob Grill then go south to Hunter House then southeast to Tios Mexican Cafe.	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Hunter House|Tios Mexican Cafe	6|4|3|5|9	path_272.png
ann-arbor	in this environmental is area e good and very aesthetic view of surrounding area i feel like living area very happy and well living place. nature is always beauty. environmental atmosphere wel	Ashley's Ann Arbor|State Street Liquors|Pita Kabob Grill|Hunter House|Tios Mexican Cafe	6|4|3|5|9	path_272.png
ann-arbor	Start on Jimmy John's then go south to Good Time Charle's then south to Shaprio Library then south to Begob then east to Hunter House then southeast to The Mexican Cafe.	Jimmy John's|Good Time Charley's|Shapiro Library|Begob|Hunter House|Tios Mexican Cafe	8|0|2|14|5|9	path_273.png
ann-arbor	From Jimmy John's go to Good Time Charley's. Then go to Shapiro Library. Next go to Begob. Then go to Hunter House. Finally go to Tios Mexican Cafe.	Jimmy John's|Good Time Charley's|Shapiro Library|Begob|Hunter House|Tios Mexican Cafe	8|0|2|14|5|9	path_273.png
ann-arbor	Beginning at Jimmy John's head towards Good Time Charley's and then to Shapiro Library. Go from Shapiro Library to Begob and then to Hunter House, and then lastly to Tios Mexican Cafe.	Jimmy John's|Good Time Charley's|Shapiro Library|Begob|Hunter House|Tios Mexican Cafe	8|0|2|14|5|9	path_273.png
ann-arbor	Begin at Good Time Charley's and go to Shapiro Library before heading to Begob and ending at Kami	Good Time Charley's|Shapiro Library|Begob|Kami	0|2|14|12	path_275.png
ann-arbor	Travel from Good Time Charley's to the Shapiro Library before continuing on to visit Begob and then Kami.	Good Time Charley's|Shapiro Library|Begob|Kami	0|2|14|12	path_275.png
ann-arbor	Starting at Good Time Charley's, go to Shapiro Library, then go to Begob, then turn and go to Kami and stop.	Good Time Charley's|Shapiro Library|Begob|Kami	0|2|14|12	path_275.png
ann-arbor	from good time charley's go to the south west to get to the east quad, willard. then turn to the south west to go to the shapiro library. finally go slightly to the north east to jimmy john's.	Good Time Charley's|East Quad, Willard|Shapiro Library|Jimmy John's	0|1|2|8	path_276.png
ann-arbor	Begin at Good Time Charley's then proceed west to East Quad Willard. Once at East Quad Willard, continue south to Shapiro Library. Lastly, head north to Jimmy Johns. Stop at Jimmy John.	Good Time Charley's|East Quad, Willard|Shapiro Library|Jimmy John's	0|1|2|8	path_276.png
ann-arbor	begin at good time charley's, and then go left and down until you hit the east quad, willard's. head down and right from the east quad until you get to the shapiro library, and then go almost directly up until you reach jimmy john's.	Good Time Charley's|East Quad, Willard|Shapiro Library|Jimmy John's	0|1|2|8	path_276.png
ann-arbor	start at pita kabob grill, and find hunter house just beneath it. go up and left and you will find begola. from begola, turn slightly left again and continue up to shapiro library. from there, go almost directly up to reach good time's charley's.	Pita Kabob Grill|Hunter House|Begob|Shapiro Library|Good Time Charley's	3|5|14|2|0	path_277.png
ann-arbor	Start at Pita Kabob Grill and fly to Hunter House. Continue on to Begob, then go to the Shapiro Library and finish at Good Time Charley's.	Pita Kabob Grill|Hunter House|Begob|Shapiro Library|Good Time Charley's	3|5|14|2|0	path_277.png
ann-arbor	From Pita Kabob Grill go to Hunter House then to Begob from there go up to Shapiro Library and then proceed north to Good Time Charley's.	Pita Kabob Grill|Hunter House|Begob|Shapiro Library|Good Time Charley's	3|5|14|2|0	path_277.png
ann-arbor	Start on Stealth St. then go south to Pita Kabob Grill.	Pita Kabob Grill|State Street Liquors|Ashley's Ann Arbor	3|4|6	path_278.png
ann-arbor	HOVER OVER  PITA KABOB GRILL	Pita Kabob Grill|State Street Liquors|Ashley's Ann Arbor	3|4|6	path_278.png
ann-arbor	in this environmental is area e good and very aesthetic view of surrounding area i feel like living area very happy and well living place. nature is always beauty. environmental atmosphere well	Pita Kabob Grill|State Street Liquors|Ashley's Ann Arbor	3|4|6	path_278.png
ann-arbor	begin at totoro sushi and go to noodles & company before heading to ashley's ann arbor and begob, ending at the shapiro library	Totoro Sushi|State Theater|Noodles & Company|State Street Liquors|Begob|Shapiro Library	13|11|7|4|14|2	path_279.png
ann-arbor	Start on State Theater then go west to Company then west to Begob then northwest to Shapiro Library.	Totoro Sushi|State Theater|Noodles & Company|State Street Liquors|Begob|Shapiro Library	13|11|7|4|14|2	path_279.png
ann-arbor	please do not stop going to the left	Totoro Sushi|State Theater|Noodles & Company|State Street Liquors|Begob|Shapiro Library	13|11|7|4|14|2	path_279.png
ann-arbor	Starting from Jimmy John's go to Good Time Charley's then to East Quad, Willard then to Shaprio Library finally go to Begob	Jimmy John's|Good Time Charley's|East Quad, Willard|Shapiro Library|Begob	8|0|1|2|14	path_1.png
ann-arbor	Starting at Jimmy John's, go to Good Time Charley's, then go to East Quad, Willard, then go to Shapiro Library, then continue on to Begob and stop.	Jimmy John's|Good Time Charley's|East Quad, Willard|Shapiro Library|Begob	8|0|1|2|14	path_1.png
ann-arbor	From Jimmy John's go to Good Time Charley's, to East Quad, Willard, to Shapiro Library, and then to Begob.	Jimmy John's|Good Time Charley's|East Quad, Willard|Shapiro Library|Begob	8|0|1|2|14	path_1.png
