map_name	utterance	trajectory	path_names	path_idxs
atlanta	in this environmental is area e good and very aesthetic view of surrounding area i feel like living area very happy and well living place. nature is always beauty	Student Center|Rotations|Subway	0|10|8	path_517.png
atlanta	Walk from Student Center to Rotations, then turn slightly left and walk to Subway.	Student Center|Rotations|Subway	0|10|8	path_517.png
atlanta	Start at the student center and head to the subway.	Student Center|Rotations|Subway	0|10|8	path_517.png
atlanta	Begin at Subway and go to Panda Express before heading to Chick-Fil-A and ending at the Einstein Statue	Subway|Panda Express|Chick-fil-A|Einstein Statue	8|6|7|2	path_519.png
atlanta	From Subway go to Auntie Anne's, to Panda Express, to Chick-fil-A, and then to the Einstein Statue.	Subway|Panda Express|Chick-fil-A|Einstein Statue	8|6|7|2	path_519.png
atlanta	FROM SUBWAY GO SOUTH PAST AUNTIE ANNES AND PADA EXPREE  TO CHICK-FIL-A . GO  OCLOCK UO TO EINSTEIN STATUE	Subway|Panda Express|Chick-fil-A|Einstein Statue	8|6|7|2	path_519.png
atlanta	From Drama Tech go to Blue Donkey Coffee, to Rotations, and then to the Student Center.	DramaTech|Blue Donkey Coffee|Rotations|Student Center	1|9|10|0	path_521.png
atlanta	From DramaTech go to Blue Donkey Coffee, then to Rotations, and finally to the Student Center.	DramaTech|Blue Donkey Coffee|Rotations|Student Center	1|9|10|0	path_521.png
atlanta	dramatech go north west to blue donkey coffee once there turn north west and go to rotations from there turn south west and go to the student center.	DramaTech|Blue Donkey Coffee|Rotations|Student Center	1|9|10|0	path_521.png
atlanta	Please leave Drama tech and go to the Dean Griffin Statue. Then go to Auntie Anne's, and from there go to Rotations. Then go to Chick-fil-a and go to Blue Donkey coffee.	DramaTech|Dean Griffin Statue|Auntie Anne's|Rotations|Chick-fil-A|Blue Donkey Coffee	1|3|5|10|7|9	path_252.png
atlanta	begin at DramaTech and go to Dean Griffin Statue and auntie Anne's before heading to Raotatious and Chick-Fil-A, ending at the Dean Griffin Statue	DramaTech|Dean Griffin Statue|Auntie Anne's|Rotations|Chick-fil-A|Blue Donkey Coffee	1|3|5|10|7|9	path_252.png
atlanta	from dramatech go south west to dean griffin statue and then go north west to aunti anne's. from there go south west to rotations and then go south east to chic-fil-a and finally go south east to blue donkey coffee.	DramaTech|Dean Griffin Statue|Auntie Anne's|Rotations|Chick-fil-A|Blue Donkey Coffee	1|3|5|10|7|9	path_252.png
atlanta	FROM GRIFFIN STATUE GO 11 0CLOCK TO BLUE DONKEY COFFEE	Dean Griffin Statue|Blue Donkey Coffee	3|9	path_522.png
atlanta	Go from Dean Griffin Statue straight to Blue Donkey Coffee.	Dean Griffin Statue|Blue Donkey Coffee	3|9	path_522.png
atlanta	Starting at the Dean Griffin Statue, go northeast to Drama Tech.  Then go west and slightly north to Blue Donkey Coffee.	Dean Griffin Statue|Blue Donkey Coffee	3|9	path_522.png
atlanta	STARTING PANDA EXPRESS GO 5 OCLOCK TO  BLUE DONKEY COFFEE AND THAN 2 OCLOCK TO DRAMA TECH	Panda Express|Blue Donkey Coffee|Dean Griffin Statue|DramaTech	6|9|3|1	path_254.png
atlanta	Start at Panda Express, go to Blue Donkey Coffee, then go down to the Dean Griffith Statue, then end the  Drama Tech.	Panda Express|Blue Donkey Coffee|Dean Griffin Statue|DramaTech	6|9|3|1	path_254.png
atlanta	Starting at Panda Express head straight until you get to Blue Donkey Coffee, Veer left and continue straight to Dean Griffin Statue. Make a right and continue straight and you will arrive at DramaTech.	Panda Express|Blue Donkey Coffee|Dean Griffin Statue|DramaTech	6|9|3|1	path_254.png
atlanta	From the Student Center, go northeast to Chick-fil-A, then northwest to Rotations.	Student Center|Chick-fil-A|Rotations	0|7|10	path_523.png
atlanta	Start at Student Center, go northeast to Chik-fil-A, Go northwest to Rotations	Student Center|Chick-fil-A|Rotations	0|7|10	path_523.png
atlanta	Please leave Student Center and go Chick-fil-a, then go to rotations.	Student Center|Chick-fil-A|Rotations	0|7|10	path_523.png
atlanta	from rotations go north east to auntie anne's and then turn and go south east to chic-fil-a	Rotations|Auntie Anne's|Chick-fil-A	10|5|7	path_255.png
atlanta	From Rotations go to Auntie Anne's and then to Chick-fil-A.	Rotations|Auntie Anne's|Chick-fil-A	10|5|7	path_255.png
atlanta	From Rotations to Auntie Anne's, go to Chick-fil-a.	Rotations|Auntie Anne's|Chick-fil-A	10|5|7	path_255.png
atlanta	Start at the Dean Griffin Statue and go to the Student Center, then proceed to Blue Donkey Coffee and finish at DramaTech.	Dean Griffin Statue|Student Center|Blue Donkey Coffee|DramaTech	3|0|9|1	path_525.png
atlanta	start at dean griffin's statue, and go up and left about forty-five degrees until you are going toward the student center. turn right and go to blue donkey coffee, and then right again to reach dramatech.	Dean Griffin Statue|Student Center|Blue Donkey Coffee|DramaTech	3|0|9|1	path_525.png
