map_name	utterance	trajectory	path_names	path_idxs
austin	From The Torchbearers go straight to Circle with Towers.	The Torchbearers|Circle with Towers	2|7	path_0.png
austin	From The Torchbearers go to Circle with Towers.	The Torchbearers|Circle with Towers	2|7	path_0.png
austin	Starting at The Torchbearers, travel directly to Circle with Towers.	The Torchbearers|Circle with Towers	2|7	path_0.png
austin	Start on The Varsity Pizza then go west to Circle with Towers.	The Varsity Pizza|Circle with Towers	0|7	path_1.png
austin	Starting at The Varsity Pizza, go to Circle with Towers and stop.	The Varsity Pizza|Circle with Towers	0|7	path_1.png
austin	Begin at The Varsity Pizza and go to Circle with Towers.	The Varsity Pizza|Circle with Towers	0|7	path_1.png
austin	From The West go to The Varsity Pizza. Then go to Monochrome for Austin. Next go to Clock Knot.	The West|The Varsity Pizza|Monochrome for Austin|Clock Knot	14|0|9|6	path_491.png
austin	Go from The West to The Varsity Pizza to Monochrome for Austin to Clock Knot	The West|The Varsity Pizza|Monochrome for Austin|Clock Knot	14|0|9|6	path_491.png
austin	Start on The West then go east to The Varsity Pizza then south to Monochrome for Austin then east to Clock Knot.	The West|The Varsity Pizza|Monochrome for Austin|Clock Knot	14|0|9|6	path_491.png
austin	From Diana the Huntress go to The Varsity Pizza. Then go to Mustangs. Next go to Bass Concert Hall.	Diana the Huntress|The Varsity Pizza|Mustangs|Bass Concert Hall	3|0|4|5	path_2.png
austin	Go from Diana the Huntress to The Varsity Pizza to Mustangs to Bass Concert Hall	Diana the Huntress|The Varsity Pizza|Mustangs|Bass Concert Hall	3|0|4|5	path_2.png
austin	Diana the Huntress then north to The Varsity Pizza then north to Mustangs then northwest to Basas Concert Hall.	Diana the Huntress|The Varsity Pizza|Mustangs|Bass Concert Hall	3|0|4|5	path_2.png
austin	Start on Bass Town Hall then go north to Amphora.	Amphora|Bass Concert Hall	12|5	path_3.png
austin	fantastic work	Amphora|Bass Concert Hall	12|5	path_3.png
austin	Starting from Amphora, head to Bass Concert Hall.	Amphora|Bass Concert Hall	12|5	path_3.png
austin	Go from Circle with Towers to Mustangs to Amphora	Circle with Towers|Mustangs|Bass Concert Hall|Prometheus and Vulture|Amphora	7|4|5|10|12	path_4.png
austin	Circle with Towers north to Mustangs northwest to Amphora.	Circle with Towers|Mustangs|Bass Concert Hall|Prometheus and Vulture|Amphora	7|4|5|10|12	path_4.png
austin	start at circle with towers, and go up and right to reach mustangs, and then up and left until you get to prometheus and vulture.	Circle with Towers|Mustangs|Bass Concert Hall|Prometheus and Vulture|Amphora	7|4|5|10|12	path_4.png
austin	Starting at The West, travel to Clock Knot, going through, Circle with Towers, Monochrome for Austin, and The Varsity Pizza.	The West|Circle with Towers|Monochrome for Austin|The Varsity Pizza|Clock Knot	14|7|9|0|6	path_492.png
austin	Start on The West then go east to Circle with Twoers then east to Monochrome for Austin then north to The Varsity Pizza then east to Clock Knot.	The West|Circle with Towers|Monochrome for Austin|The Varsity Pizza|Clock Knot	14|7|9|0|6	path_492.png
austin	From The West go to Circle with Towers. Then go to Monochrome for Austin. Next go to The Varsity Pizza. Finally go to Clock Knot.	The West|Circle with Towers|Monochrome for Austin|The Varsity Pizza|Clock Knot	14|7|9|0|6	path_492.png
austin	Begin at Pedogna and end at Monochrome for Austin.	Pedogna|Monochrome for Austin	11|9	path_248.png
austin	Starting at Pedogna, go to Monochrome for Austin and stop.	Pedogna|Monochrome for Austin	11|9	path_248.png
austin	Start on Pedogna then northeast to Monochrome for Austin.	Pedogna|Monochrome for Austin	11|9	path_248.png
austin	Starting at Barbara Jordan Statue, travel to Circle with Towers, going through Pedogna.	Barbara Jordan Statue|Pedogna|Circle with Towers	1|11|7	path_5.png
austin	Go from the Barbara Jordan Statue to Pedogna and finish at the Circle with Towers.	Barbara Jordan Statue|Pedogna|Circle with Towers	1|11|7	path_5.png
austin	Begin at the Barbara Jordan Statue. travel northwest until you reach Pedogna. From there, travel north until you reach Circle With Towers. You'll pass The West on your left about halfway to your destination as you go.	Barbara Jordan Statue|Pedogna|Circle with Towers	1|11|7	path_5.png
austin	From Diana the Huntress go to Monochrome for Austin. Then go to Mustangs.	Diana the Huntress|Monochrome for Austin|Mustangs	3|9|4	path_493.png
austin	The path goes from Diana the Huntress to Monochrome for Austin to Mustangs.	Diana the Huntress|Monochrome for Austin|Mustangs	3|9|4	path_493.png
austin	Start on Diana the Huntress then northwest to The Varsity Pizza then north to Mustangs.	Diana the Huntress|Monochrome for Austin|Mustangs	3|9|4	path_493.png
austin	Leaving amphora and go to Mustangs.	Amphora|Winged Victory|Mustangs	12|13|4	path_249.png
austin	Start on Winged Victory then go southeast to Mustangs.	Amphora|Winged Victory|Mustangs	12|13|4	path_249.png
austin	FROM AMPHORA  HEAD 5 OCLOCK TO MUSTANGS	Amphora|Winged Victory|Mustangs	12|13|4	path_249.png
austin	Starting from Clock Knot, travel to Pedogna, going through Circle with Towers.	Clock Knot|Circle with Towers|Pedogna	6|7|11	path_494.png
austin	From Clock Knot go to Circle with Towers. Then go to Pedogna.	Clock Knot|Circle with Towers|Pedogna	6|7|11	path_494.png
austin	Start on Clock Knot then go west to Circle with Towers then south to Pedogna.	Clock Knot|Circle with Towers|Pedogna	6|7|11	path_494.png
austin	Start on Winged Victory then go southeast to Mustangs then south to Circle with Towers then south to Pedogna.	Prometheus and Vulture|Mustangs|Circle with Towers|Pedogna	10|4|7|11	path_6.png
austin	From Winged Victory go to Mustangs. Then go to Circle with Towers. Next go to Pedogna.	Prometheus and Vulture|Mustangs|Circle with Towers|Pedogna	10|4|7|11	path_6.png
austin	From Winged Victory go to Mustangs then to Circle with Towers and end up at Pedogna.	Prometheus and Vulture|Mustangs|Circle with Towers|Pedogna	10|4|7|11	path_6.png
austin	begin at monochrome for austin, and then go left and very slightly up to get to circle with towers, and then up and right to vermillion. from vermillion, go right and down to get to the varsity plaza.	The Varsity Pizza|Vermillion|Circle with Towers|Monochrome for Austin	0|8|7|9	path_250.png
austin	Starting at The Varsity Pizza head straight to Vermillion. Make a left and head straight to Circle with Towers. Make a slightly sharp right and continue straight to Monochrome for Austin.	The Varsity Pizza|Vermillion|Circle with Towers|Monochrome for Austin	0|8|7|9	path_250.png
austin	Start on The Varsity Pizza then west to Vermillion then southwest to Circle with Towers then east to Monochrome for Austin.	The Varsity Pizza|Vermillion|Circle with Towers|Monochrome for Austin	0|8|7|9	path_250.png
austin	From The West go to Circle with Towers. Then go to Monochrome for Austin. Next go to Vermillion.	The West|Circle with Towers|Monochrome for Austin|Vermillion	14|7|9|8	path_7.png
austin	Starting at The West, travel to Vermillion, going through Circle with Towers and Monochrome for Austin.	The West|Circle with Towers|Monochrome for Austin|Vermillion	14|7|9|8	path_7.png
austin	Start on The West then go northeast to Circle with Towers then east to Monochrome for Austin then west to Vermillion.	The West|Circle with Towers|Monochrome for Austin|Vermillion	14|7|9|8	path_7.png
austin	{}	The Varsity Pizza|Mustangs|Winged Victory|Prometheus and Vulture	0|4|13|10	path_251.png
austin	Begin at The Varsity Pizza. Move up and left to Mustangs. Move up and left to Winged Victory.	The Varsity Pizza|Mustangs|Winged Victory|Prometheus and Vulture	0|4|13|10	path_251.png
