map_name	utterance	trajectory	path_names	path_idxs
baltimore	Start at Carma's Cafe. From there, head directly east to Race Pace Bicycles. Once there, go south-southwest to Spirit of Music. After that, go southwest to Gertrude's.	Carma's Cafe|Race Pace Bicycles|Spirit of Music|Gertrude's	6|14|3|2	path_0.png
baltimore	from carma's cafe go north east to the race pace bicycles and then go to the south west to spirit of music. once there go to the south west to gertrude's.	Carma's Cafe|Race Pace Bicycles|Spirit of Music|Gertrude's	6|14|3|2	path_0.png
baltimore	Go from Carma's Cafe to Race Pace Bicycles to Spirit of Music to Gertrude's	Carma's Cafe|Race Pace Bicycles|Spirit of Music|Gertrude's	6|14|3|2	path_0.png
baltimore	Walk southeast from 7-Eleven to BMA Sculpture Gardens.	7-Eleven|BMA Sculpture Gardens	1|12	path_1.png
baltimore	Start on 7-Eleven then southeast to BMA Sculpture Gardens.	7-Eleven|BMA Sculpture Gardens	1|12	path_1.png
baltimore	Starting at 7-Eleven, go to X-578, then turn left and end at BMA Sculpture Gardens.	7-Eleven|BMA Sculpture Gardens	1|12	path_1.png
baltimore	Starting from The Breezeway go to Bamboo Cafe then to Race Pace Bicycles finally go to Barnes & Noble	The Breezeway|Bamboo Cafe|Race Pace Bicycles|Barnes & Noble	11|7|14|0	path_3.png
baltimore	Starting at The Breezeway, go to Bamboo Cafe, then go to Race Pace Bicycles, then end at Barnes & Noble.	The Breezeway|Bamboo Cafe|Race Pace Bicycles|Barnes & Noble	11|7|14|0	path_3.png
baltimore	starting at the breezeway go north west to bamboo cafe and then go north west to race pace bicycles. once there turn to go south east to barnes & noble.	The Breezeway|Bamboo Cafe|Race Pace Bicycles|Barnes & Noble	11|7|14|0	path_3.png
baltimore	begin at barnes and noble and go to spirit of music before ending at bamboo cafe	Barnes & Noble|Spirit of Music|Bamboo Cafe	0|3|7	path_5.png
baltimore	Start on Barnes & Noble then go south to Spirit of Music then east to Bamboo Cafe.	Barnes & Noble|Spirit of Music|Bamboo Cafe	0|3|7	path_5.png
baltimore	Starting at Barnes & Noble going southwest to Spirit of Music. Once there turn southeast to Bamboo Cafe.	Barnes & Noble|Spirit of Music|Bamboo Cafe	0|3|7	path_5.png
baltimore	Start on CVS then go west to Carma's Cafe then west to 7-Eleven then south X-578.	CVS|Carma's Cafe|7-Eleven|X-578	9|6|1|13	path_7.png
baltimore	Starting at CVS head southwest to Carma's Cafe.  Once there continue Southwest 7-eleven.  At 7-Eleven continue south X-578.	CVS|Carma's Cafe|7-Eleven|X-578	9|6|1|13	path_7.png
baltimore	FROM CVS GO 9 OCLOCK TO CARMAS CAFE ONTO 7-ELEVEN AND SOUTH TO X-578	CVS|Carma's Cafe|7-Eleven|X-578	9|6|1|13	path_7.png
baltimore	begin at carma's cafe and go to spirit of music before heading to gertrude's	Carma's Cafe|Spirit of Music|Gertrude's	6|3|2	path_8.png
baltimore	From Carma's Cafe head to Spirit of Music, then to Gertrude's.	Carma's Cafe|Spirit of Music|Gertrude's	6|3|2	path_8.png
baltimore	from carma's cafe go to the south east to the spirit of music and then go to the south west to gertrude's.	Carma's Cafe|Spirit of Music|Gertrude's	6|3|2	path_8.png
baltimore	starting at X-578, head left past the BMA sculpture gardens, then further up to the spirit of music. from the spirit of music, head more directly up and slightly right until you reach race pace bicycles, and then turn left again to barnes & noble.	X-578|BMA Sculpture Gardens|Spirit of Music|Race Pace Bicycles|Barnes & Noble	13|12|3|14|0	path_9.png
baltimore	Starting at X-578, go to BMA Sculpture Gardens, then go to Spirit of Music, then head to Race Pace Bicycles, and end at Barnes & Noble.	X-578|BMA Sculpture Gardens|Spirit of Music|Race Pace Bicycles|Barnes & Noble	13|12|3|14|0	path_9.png
baltimore	Start on X-578 then go east to BMA Sculpture Gardens then east to Spirit of Music then north to Race Pace Bicycles east to Barnes & Noble.	X-578|BMA Sculpture Gardens|Spirit of Music|Race Pace Bicycles|Barnes & Noble	13|12|3|14|0	path_9.png
baltimore	FROM HOPKINS UNIVERSITY GO 7 OCLOCK PAST SPIRIT OF MUSIC ONTO BMA SCULPTURE GARDENS	Hopkins University|Spirit of Music|BMA Sculpture Gardens	10|3|12	path_10.png
baltimore	Start from Hopkins University, go to Spirit of Music, and then to BMA Sculpture Gardens.	Hopkins University|Spirit of Music|BMA Sculpture Gardens	10|3|12	path_10.png
baltimore	Starting at Hopkins University, travel to BMA Sculpture Gardens passing through Spirit of Music.	Hopkins University|Spirit of Music|BMA Sculpture Gardens	10|3|12	path_10.png
baltimore	Starting from X-578 go to BMA Scupture Gardens	X-578|BMA Sculpture Gardens	13|12	path_13.png
baltimore	Start at x-578 head east to BMA Sculpture Gardens.	X-578|BMA Sculpture Gardens	13|12	path_13.png
baltimore	Leave from X-578 and go across to BMA Sculpture Gardens.	X-578|BMA Sculpture Gardens	13|12	path_13.png
