map_name	utterance	trajectory	path_names	path_idxs
harvard	From Harvard Bookstore fly southeast to Harvard and then north to Elm Yard	Harvard Bookstore|Harvard|Elm Yard	12|0|3	path_0.png
harvard	From the Harvard Bookstore, go to Harvard and then Elm Yard.	Harvard Bookstore|Harvard|Elm Yard	12|0|3	path_0.png
harvard	Walk from Harvard Bookstore to Harvard, then turn sharply left and walk to Elm Yard.	Harvard Bookstore|Harvard|Elm Yard	12|0|3	path_0.png
harvard	Begin at the Winthrop House and then go to the Cafe Pomplona and then the Pusey Library.	Winthrop House|Cafe Pamplona|Pusey Library	10|11|7	path_1.png
harvard	Start at Winthrop House and go to Cafe Pamplona and finish at Pusey Library.	Winthrop House|Cafe Pamplona|Pusey Library	10|11|7	path_1.png
harvard	Winthrop house to cafe Pamplona to Pusey Library	Winthrop House|Cafe Pamplona|Pusey Library	10|11|7	path_1.png
harvard	Begin at Cafe Pomplona and then head to the Fogg Museum and then to Busch-Reisinger Museum.	Cafe Pamplona|Busch-Reisinger Museum|Fogg Museum	11|9|14	path_2.png
harvard	Begin at Cafe Pamplona, and go to the Fogg Museum, by way of the Busch-Reisinger Museum.	Cafe Pamplona|Busch-Reisinger Museum|Fogg Museum	11|9|14	path_2.png
harvard	Starting from Cafe Pamplona, take the street that goes East-Northeast to the Busch-Reisinger Museum. Turn very sharply to the left and come back a short distance to get to the Fogg Museum.	Cafe Pamplona|Busch-Reisinger Museum|Fogg Museum	11|9|14	path_2.png
harvard	From Leverett Towers, go to Winthrop House then continue to Harvard Square.	Leverett Towers|Winthrop House|Harvard Square	5|10|1	path_3.png
harvard	Walk from Leverett Towers to Winthrop House, then turn 90 degrees left and walk to Harvard Square.	Leverett Towers|Winthrop House|Harvard Square	5|10|1	path_3.png
harvard	Starting at Leverett Towers, go southeast to Winthrop House, then go east to Harvard Square.	Leverett Towers|Winthrop House|Harvard Square	5|10|1	path_3.png
harvard	You start from Pursey Library, you continue to Harvard Bookstore, and finish to Malkin Quad.	Pusey Library|Harvard Bookstore|Malkin Quad	7|12|6	path_4.png
harvard	Go to the Harvard Bookstore and then go straight to the Malkin Quad.	Pusey Library|Harvard Bookstore|Malkin Quad	7|12|6	path_4.png
harvard	From Pusey Library pass through the Harvard Bookstore to make it to Malkin Quad	Pusey Library|Harvard Bookstore|Malkin Quad	7|12|6	path_4.png
harvard	Begin at Fogg Museum, go to Harvard Bookstore, then Malkin Quad. End at Winthrop House	Fogg Museum|Harvard Bookstore|Malkin Quad|Winthrop House	14|12|6|10	path_6.png
