map_name	utterance	trajectory	path_names	path_idxs
mit	Starting at the Jackson Building veer left and head straight to Edgerton House. Make a right, veer right and go straight and you will arrive at the Clark Building.	Jackson Building|Edgerton House|Clark Building	6|7|8	path_0.png
mit	Go from Jackson Building to Edgerton House and then to Clark Building.	Jackson Building|Edgerton House|Clark Building	6|7|8	path_0.png
mit	From the Jackson Building go northwest to Edgerton House, then southwest to the Clark Building.	Jackson Building|Edgerton House|Clark Building	6|7|8	path_0.png
mit	Go from Cambridge Bicycle to Jackson Building before heading to West Garage.	Cambridge Bicycle|Jackson Building|West Garage	4|6|5	path_1.png
mit	From cambridge Bicycle go the Jackson Building and then go the west garage and stop.	Cambridge Bicycle|Jackson Building|West Garage	4|6|5	path_1.png
mit	Beginning at Cambridge Bicycle, travel southwest until you reach Jackson Building. From Jackson Building, travel west-northwest until you reach West Garage.	Cambridge Bicycle|Jackson Building|West Garage	4|6|5	path_1.png
mit	Walk from Cambridge Bicycle to Jackson Building, then turn left and walk to The Asgard.	Cambridge Bicycle|Jackson Building|The Asgard	4|6|11	path_2.png
mit	Start at Cambridge Bicycle and go to Jackson Building and continue to The Asgard.	Cambridge Bicycle|Jackson Building|The Asgard	4|6|11	path_2.png
mit	from cambridge bicycle go south west to jackson building from there go south east to the asgard.	Cambridge Bicycle|Jackson Building|The Asgard	4|6|11	path_2.png
mit	Begin at Desi Dhaba and then go to The Asgard before heading to MIT Museum and ending at Middlesex Lounge.	Desi Dhaba|The Asgard|MIT Museum|Middlesex Lounge	14|11|9|12	path_3.png
mit	Start at Desi Dhaba. Proceed to The Asgard. The go to the MIT Museum. Then go to the Middlesex Lounge.	Desi Dhaba|The Asgard|MIT Museum|Middlesex Lounge	14|11|9|12	path_3.png
mit	Start at Desi Dhaba, go to The Asgard, then to MIT museum, and end at Middlesex Lounge.	Desi Dhaba|The Asgard|MIT Museum|Middlesex Lounge	14|11|9|12	path_3.png
mit	Move directly from the Clark Building to Cambridge Bicycle and then just over to the MIT museum.	Clark Building|Cambridge Bicycle|MIT Museum	8|4|9	path_4.png
mit	Begin at the Clark Building before heading to Cambridge Bicycle and then go to the MIT Museum.	Clark Building|Cambridge Bicycle|MIT Museum	8|4|9	path_4.png
mit	Proceed from the Clark Building to Cambridge Bicycle. Turn right and go to the MIT Museum.	Clark Building|Cambridge Bicycle|MIT Museum	8|4|9	path_4.png
mit	Start at Desi Dhaba and go to Clark Building and then to Liveable Streets.	Desi Dhaba|Clark Building|LiveableStreets	14|8|10	path_5.png
mit	From Desi Dhaba, head down to Clark Building, then keep heading that direction to Liveable Streets.	Desi Dhaba|Clark Building|LiveableStreets	14|8|10	path_5.png
mit	Walk from Dest Dhaba to Clark Building, then turn slightly left and walk to Liveable Streets.	Desi Dhaba|Clark Building|LiveableStreets	14|8|10	path_5.png
mit	Start at the Clark Building then go northeast to Toscanini's then west to The asgard.	Clark Building|Toscanini's|The Asgard	8|1|11	path_6.png
mit	from clark building go 2 oclock to toscanini's anf turn left to the asgard	Clark Building|Toscanini's|The Asgard	8|1|11	path_6.png
mit	Begin at Clark Building, go to Toscanini's. End at The Asgard	Clark Building|Toscanini's|The Asgard	8|1|11	path_6.png
mit	Go from Toscanini's to Cambridge Bicycle and finish at La Verde's.	Toscanini's|Cambridge Bicycle|La Verde's	1|4|3	path_7.png
mit	Starting at Toscanini's head for the MIT Museum, then head for Cambridge Bicycle, then head for La Verde's	Toscanini's|Cambridge Bicycle|La Verde's	1|4|3	path_7.png
mit	Leave Toscanini's and go up to Cambridge Bicycle, then keep going in that direction until you reach La Verde's.	Toscanini's|Cambridge Bicycle|La Verde's	1|4|3	path_7.png
mit	from West Garage go straight until you hit Cambridge Bicycle. Then take a right to reach the MIT Museum.	West Garage|Cambridge Bicycle|MIT Museum	5|4|9	path_8.png
mit	Beginning at West Garage, travel east until you reach Cambridge Bicycle. From there, continue traveling southeast to MIT Museum.	West Garage|Cambridge Bicycle|MIT Museum	5|4|9	path_8.png
mit	Go east to the Cambridge Bicycle	West Garage|Cambridge Bicycle|MIT Museum	5|4|9	path_8.png
mit	Begin at Middlesex lounge, then go to toscanini's	Middlesex Lounge|Toscanini's	12|1	path_242.png
mit	Begin at Middlesex Lounge. End at Toscanini's	Middlesex Lounge|Toscanini's	12|1	path_242.png
mit	Begin at Middlesex Lounge and then go to Toscanini's.	Middlesex Lounge|Toscanini's	12|1	path_242.png
mit	Start at the West Garage then go to Jackson Building then goto Toscanini's.	West Garage|Jackson Building|Toscanini's	5|6|1	path_243.png
mit	start at West Garage and go straight to the Jackson Building. Then veer slightly left to hit Toscanini's.	West Garage|Jackson Building|Toscanini's	5|6|1	path_243.png
mit	Go from West Garage to Jackson Building and continue to Toscanini's.	West Garage|Jackson Building|Toscanini's	5|6|1	path_243.png
mit	Start at Cambridge Bicycle and head to the MIT Museum. Then go to the Edgerton House. From there, go to Jackson Building.	Cambridge Bicycle|MIT Museum|Edgerton House|Jackson Building	4|9|7|6	path_9.png
mit	From Cambridge Bicycle head southeast to MIT Museum, then turn right and head southwest to Edgerton House. Finally take a sharp left and head southeast to Jackson Building	Cambridge Bicycle|MIT Museum|Edgerton House|Jackson Building	4|9|7|6	path_9.png
mit	From Cambridge Bicycle, go to the MIT Museum. From the museum, make a beeline for Edgerton House. Once at Edgerton House, turn and go to the Jackson Building where you will finish your trip.	Cambridge Bicycle|MIT Museum|Edgerton House|Jackson Building	4|9|7|6	path_9.png
mit	Go from MIT Museum to Desi Dhaba to Toscanini's	MIT Museum|Desi Dhaba|Toscanini's	9|14|1	path_244.png
mit	From MIT Museum go to Desi Dhaba and then to Toscanini's.	MIT Museum|Desi Dhaba|Toscanini's	9|14|1	path_244.png
mit	Start at MIT Museum. Go to Des Dhaba. End at Toscanini's.	MIT Museum|Desi Dhaba|Toscanini's	9|14|1	path_244.png
