map_name	utterance	trajectory	path_names	path_idxs
yale	from yale women's center go south west to harkness tower and then turn to go north east to durfee's.	Yale Women's Center|Harkness Tower|Durfee's	8|1|7	path_493.png
yale	Starting at Yale Women's Center go southwest to Harkness Tower.  Once there turn northeast and travel to Durfee's.	Yale Women's Center|Harkness Tower|Durfee's	8|1|7	path_493.png
yale	begin at yale women's center and go to harkness tower and end at durfee's	Yale Women's Center|Harkness Tower|Durfee's	8|1|7	path_493.png
yale	Starting from Harkness Tower go to Yale Women's Center then to Blue State Coffee then finally go to Chase	Harkness Tower|Yale Women's Center|Blue State Coffee|Phil's Hairstyles|Chase	1|8|4|6|2	path_242.png
yale	Walk from Harkness Tower to Yale Women's Center, then continue straight to Blue State Coffee, then turn left and walk to Chase.	Harkness Tower|Yale Women's Center|Blue State Coffee|Phil's Hairstyles|Chase	1|8|4|6|2	path_242.png
yale	Start at Harkness Tower. Go to Duffee's. Then go to Phil's Hairstyles. From there go to Chase.	Harkness Tower|Yale Women's Center|Blue State Coffee|Phil's Hairstyles|Chase	1|8|4|6|2	path_242.png
yale	From Gate B go to Dean's Office, then go to Phil's Hairstyles, then to Blue State Coffee, then proceed to Yale Women's Center, finally to Yale Post Office.	Gate B|Dean's Office|Phil's Hairstyles|Blue State Coffee|Yale Women's Center|Durfee's|Yale Post Office	10|11|6|4|8|7|0	path_0.png
yale	start at gate b and go left and slightly downward to dean's office, and then come down at a rightward angle to reach phil's hairstyle, and then down just a little more to blue state coffee. angle yourself left again and continue down to yale women's center, and then zigzag right again to get to yale post office.	Gate B|Dean's Office|Phil's Hairstyles|Blue State Coffee|Yale Women's Center|Durfee's|Yale Post Office	10|11|6|4|8|7|0	path_0.png
yale	begin at gate b and go to dean's office and phil's hairstyles before heading to blue state coffee and yale women's center. go to durfee's and end at the yale post office	Gate B|Dean's Office|Phil's Hairstyles|Blue State Coffee|Yale Women's Center|Durfee's|Yale Post Office	10|11|6|4|8|7|0	path_0.png
yale	From Yale Women's Center go to Blue State Coffee. Then go to Dean's Office. Next go to Master's House. Finally go to Liberty Bank.	Yale Women's Center|Blue State Coffee|Dean's Office|Master's House|Liberty Bank	8|4|11|5|3	path_243.png
yale	Walk from Yale Women's Center to Blue State Coffee, then turn left and walk to Dean's Office, then turn left and walk to Master's House, then continue straight to Liberty Bank.	Yale Women's Center|Blue State Coffee|Dean's Office|Master's House|Liberty Bank	8|4|11|5|3	path_243.png
yale	Start on Yale Women's Center ther go north to Blue State Coffee then north to Dean's Office to Master's House then west to Liberty Bank.	Yale Women's Center|Blue State Coffee|Dean's Office|Master's House|Liberty Bank	8|4|11|5|3	path_243.png
yale	starting at gate b go south west to blue star coffee and then go south west to yale women's center. from there turn to go south east to advertisement.	Gate B|Blue State Coffee|Yale Women's Center|Advertisement	10|4|8|9	path_244.png
yale	Starting at Gate B go down to Blue State Coffee, then head down to Yale Women's Center through Durfee's and to Advertisement.	Gate B|Blue State Coffee|Yale Women's Center|Advertisement	10|4|8|9	path_244.png
yale	Start at Gate B and travel south-southwest to reach Blue State Coffee.  From there,  travel southwest to arrive at Yale Women's Center. Next, travel southeast to reach Durfee's.  Finally, travel southeast again to arrive at Advertisement.	Gate B|Blue State Coffee|Yale Women's Center|Advertisement	10|4|8|9	path_244.png
yale	Go from Gate B to Phil's Hairstyles to Master's House to Chase	Gate B|Phil's Hairstyles|Master's House|Chase	10|6|5|2	path_1.png
yale	Start on Gate B then go south to Phil's Hairstyles then northwest to Master's House then west to Chase.	Gate B|Phil's Hairstyles|Master's House|Chase	10|6|5|2	path_1.png
yale	Start from Gate B, go to Phil's Hairstyles, to Master's House, to Chase.	Gate B|Phil's Hairstyles|Master's House|Chase	10|6|5|2	path_1.png
yale	Begin at Gate B. Move left and slightly down to Master's House. Move down to the right to Blue State Coffee. Move down to the left to Yale Women's Center.	Gate B|Master's House|Blue State Coffee|Yale Women's Center	10|5|4|8	path_245.png
yale	from gate b go directly to the west to get to master's house and then turn south east to go to blue star coffee. from there turn and go to the south west to yale women's center.	Gate B|Master's House|Blue State Coffee|Yale Women's Center	10|5|4|8	path_245.png
yale	Starting at Gate B heading left continue straight to Master's House. Make a sharp right and continue straight past Phil's Hairstyles to Blue State Coffee. Make a left and continue straight to Yale Women's center.	Gate B|Master's House|Blue State Coffee|Yale Women's Center	10|5|4|8	path_245.png
yale	Go from Yale Women's Center/Durfee's to the Yale Post Office.	Yale Women's Center|Yale Post Office	8|0	path_2.png
yale	Walk from Durfee's southeast to the Yale Women's Center.	Yale Women's Center|Yale Post Office	8|0	path_2.png
yale	go to the right then left	Yale Women's Center|Yale Post Office	8|0	path_2.png
yale	Walk from Master's House to Phil's Hairstyles, then continue on to Blue State Coffee, then turn right and walk to Yale Women's Center.	Master's House|Phil's Hairstyles|Blue State Coffee|Yale Women's Center	5|6|4|8	path_246.png
yale	You start from Master's House to Phil's Hairstyles than to Blue State Coffee,and finish to Yale Women's Center.	Master's House|Phil's Hairstyles|Blue State Coffee|Yale Women's Center	5|6|4|8	path_246.png
yale	begin at master's house and go to phil's hairstyles and blue state coffee before ending at the yale women's center	Master's House|Phil's Hairstyles|Blue State Coffee|Yale Women's Center	5|6|4|8	path_246.png
