map_name	utterance	trajectory	path_names	path_idxs
upenn	Walk from Mad Mex to Cosi, then turn slightly right and walk to the Annenberg Center, then turn left and walk to Abner's Cheesesteaks.	Mad4Mex|Così|Annenberg Center|Abner's Cheesesteaks	1|9|5|8	path_1.png
upenn	Begin at Mad4Mex and then go to Cosi before heading to Annenberg Center and ending at Abner's Cheesesteaks.	Mad4Mex|Così|Annenberg Center|Abner's Cheesesteaks	1|9|5|8	path_1.png
upenn	Start at Mad4Mex, go to Cosi, then Annenberg Center, then Abner's Cheesesteaks.	Mad4Mex|Così|Annenberg Center|Abner's Cheesesteaks	1|9|5|8	path_1.png
upenn	Start on Urban Outfitters then east to International House then south to Chili's.	Urban Outfitters|Loft|International House|Chili's	11|10|13|0	path_256.png
upenn	Urban Outfitters to the International House to Chili's.	Urban Outfitters|Loft|International House|Chili's	11|10|13|0	path_256.png
upenn	From Urban Outfitters, travel East Southeast to the International House. Then go almost directly south, but just a few degrees to the West, a short distance to reach Cosi;s your final destination.	Urban Outfitters|Loft|International House|Chili's	11|10|13|0	path_256.png
upenn	Starting at Hirbag outfitters go west to Cosi.  Once at Cosi return to Hirbag outfitters (can't read name to small for my old eyes, I'm sorry).  From there head east to 36'th street.	Loft|Così|Urban Outfitters|36th St	10|9|11|7	path_2.png
upenn	Start on Urban Outfitters then go west to Cosi then east to 36th St.	Loft|Così|Urban Outfitters|36th St	10|9|11|7	path_2.png
upenn	from cost head right to urban outfitters and up slightly to the right to 36th st	Loft|Così|Urban Outfitters|36th St	10|9|11|7	path_2.png
upenn	Start at Internatoinal House.  Proceed West to Urban Outfitters.  Then pass Cosi to end at Penn Bookstore.	Loft|Penn Bookstore|Urban Outfitters|International House	10|3|11|13	path_3.png
upenn	Walk from Penn Bookstore to Urban Outfitters, then turn slightly right and walk to International House.	Loft|Penn Bookstore|Urban Outfitters|International House	10|3|11|13	path_3.png
upenn	Start at the Loft. Travel to the Penn Bookstore. Turn around and go to Urban Outfitters. Then go out to the International House.	Loft|Penn Bookstore|Urban Outfitters|International House	10|3|11|13	path_3.png
upenn	Walk from 33rd Street to Zipcar, then turn slightly left and walk to 36th St, then turn slightly right and walk to Loft, then turn left and walk to Annenberg Center.	33rd Street|Zipcar|36th St|Loft|Annenberg Center	4|12|7|10|5	path_257.png
upenn	Start at 33rd Street then go west to Zipoar then southwest to 36th Str then west to Loft then south to Annenberg Center.	33rd Street|Zipcar|36th St|Loft|Annenberg Center	4|12|7|10|5	path_257.png
upenn	Begin at 33rd Street before heading to Zipcar and then to 36th St, Loft, and then the Annenberg Center.	33rd Street|Zipcar|36th St|Loft|Annenberg Center	4|12|7|10|5	path_257.png
upenn	Begin at Philadelphia Runners, go to Urban Outfitters. End at Starbucks	Philadelphia Runners|Urban Outfitters|Starbucks	14|11|2	path_258.png
upenn	starting at  philadelpia runners and up 2  oclock  pass urban outfitters to starbucks	Philadelphia Runners|Urban Outfitters|Starbucks	14|11|2	path_258.png
upenn	Begin at Philadelphia Runners before heading to Urban Outfitters and ending at Starbucks.	Philadelphia Runners|Urban Outfitters|Starbucks	14|11|2	path_258.png
upenn	Start on Penn Bookstore then go southeast to Annenberg Center then southeast to Abner's Cheesesteaks.	Penn Bookstore|Annenberg Center|Abner's Cheesesteaks	3|5|8	path_4.png
upenn	Go from Penn bookstore go to Annenberg Center and end at Abner's cheesesteaks.	Penn Bookstore|Annenberg Center|Abner's Cheesesteaks	3|5|8	path_4.png
upenn	Go from Penn Bookstore to Annenberg Center and then to Abner's Cheesesteaks.	Penn Bookstore|Annenberg Center|Abner's Cheesesteaks	3|5|8	path_4.png
upenn	Begin at the Annenberg Center, then proceed northbound to Urban Outfitters. At Urban Outfitters, head slight east to 36th Street.	Annenberg Center|Urban Outfitters|Loft|36th St	5|11|10|7	path_259.png
upenn	Start on Annenberg Center then go north to Urban Outfitters then go east to 36th St.	Annenberg Center|Urban Outfitters|Loft|36th St	5|11|10|7	path_259.png
upenn	Start at Annenberg Center go Northeast to Urban Outfitters.continue to the other side of Outfitters, then turn east and go to 36th St.	Annenberg Center|Urban Outfitters|Loft|36th St	5|11|10|7	path_259.png
upenn	from starbucks go 7oclock to 36th st	Starbucks|36th St	2|7	path_5.png
upenn	go down and right from starbucks until you reach 36th street.	Starbucks|36th St	2|7	path_5.png
upenn	Begin at Starbucks. End at 36th St	Starbucks|36th St	2|7	path_5.png
upenn	starting at Chili's head west northwest until you reach Annenberg Center, then head northwest until you reach Cosi, then head northeast until you reach Starbucks, then northwest until you reach Zipcar, then northeast until you hit 33rd Street	Chili's|Annenberg Center|Così|Starbucks|Zipcar|33rd Street	0|5|9|2|12|4	path_260.png
upenn	Begin at Chili's before heading to the Annenberg Center, Cosi, starbucks, Zipcar, and finally 33rd Street.	Chili's|Annenberg Center|Così|Starbucks|Zipcar|33rd Street	0|5|9|2|12|4	path_260.png
upenn	Start at Chili's, go to Annenberg Center, then to Cosi, then to Starbucks, then Zipcar, then 33rd St.	Chili's|Annenberg Center|Così|Starbucks|Zipcar|33rd Street	0|5|9|2|12|4	path_260.png
upenn	Go from Mad4Mex  to Cosi to Urban Outfitters to the Loft to Philadelphia Runners.	Mad4Mex|Così|Urban Outfitters|Loft|Philadelphia Runners	1|9|11|10|14	path_6.png
upenn	Start at Mad4Max, go to Cosi, then Urban Outfitters, then end at Philadelphia Runners.	Mad4Mex|Così|Urban Outfitters|Loft|Philadelphia Runners	1|9|11|10|14	path_6.png
upenn	Start at Mad4Mex then go east to Cosi then east again to Urban Outfitters then west to Philadelphia Runners.	Mad4Mex|Così|Urban Outfitters|Loft|Philadelphia Runners	1|9|11|10|14	path_6.png
upenn	Starting at Starbucks proceed to 36th St then to Urban Outfitters then to Cosi.	Starbucks|36th St|Urban Outfitters|Così	2|7|11|9	path_8.png
upenn	Begin at Starbucks, go to 36th St, then Urban Outfitters. End at Cosi	Starbucks|36th St|Urban Outfitters|Così	2|7|11|9	path_8.png
upenn	Start at Starbucks then go west to 36th St then west to Urban Outfitters then west to Cosi.	Starbucks|36th St|Urban Outfitters|Così	2|7|11|9	path_8.png
upenn	Start on 36th St then go west to Loft then west to Penn Bookstore.	36th St|Loft|Penn Bookstore	7|10|3	path_10.png
upenn	Begin at 36th St, go to Loft. End at Penn Bookstore	36th St|Loft|Penn Bookstore	7|10|3	path_10.png
upenn	start at 36th st go left past loft onto penn bookstore	36th St|Loft|Penn Bookstore	7|10|3	path_10.png
upenn	Go from Penn Bookstore to Philadelphia Runners, and finish at Chili's.	Penn Bookstore|Philadelphia Runners|Chili's	3|14|0	path_11.png
upenn	Start at Penn Bookstore and go straight from the Penn Bookstore to Philadelphia Runners. Next from Philadelphia Runners go straight to Annenberg Center. Then from Annenberg Center go to Chili's	Penn Bookstore|Philadelphia Runners|Chili's	3|14|0	path_11.png
upenn	Starting Penn Bookstore head southeast to Philadelphia Runners.  Continue heading southeast to Chill's.	Penn Bookstore|Philadelphia Runners|Chili's	3|14|0	path_11.png
upenn	Begin at Philadelphia Runners then proceed southeast towards Annneberg Center. Continue east towards Chili's. Once at Chili's, continue south to Abner's Cheesesteaks. Stop at Abner's Cheesesteaks.	Philadelphia Runners|Annenberg Center|Chili's|Abner's Cheesesteaks	14|5|0|8	path_261.png
upenn	Go from Philadelphia Runners to the Annenberg Center. Next, fly to Chili's and then make your last stop at Abner's Cheesesteaks.	Philadelphia Runners|Annenberg Center|Chili's|Abner's Cheesesteaks	14|5|0|8	path_261.png
upenn	Begin at the Philadelphia Runners. Go to the Annenberg Center. Then go to Chili's. Finish at Abner's Cheesesteaks.	Philadelphia Runners|Annenberg Center|Chili's|Abner's Cheesesteaks	14|5|0|8	path_261.png
upenn	Start at Annenberg center turn west and travel to Philadelphia runners.  From there head Northeast to Horban Outfitters.  Continue west to Penn Bookstore.  Then turn east and goto Cosi.	Annenberg Center|Philadelphia Runners|Loft|Penn Bookstore|Così	5|14|10|3|9	path_12.png
upenn	start from the annenberg center, and walk left until you get to philadelphia runners. from the runners, walk right to urban outfitters. walk all the way to penn bookstore from urban outfitters, and then double back to get to cosi.	Annenberg Center|Philadelphia Runners|Loft|Penn Bookstore|Così	5|14|10|3|9	path_12.png
upenn	In order start at Annenberg Center and go to Philadelphia runners, go to Urban Outfitters, cosi, then penn bookstore.	Annenberg Center|Philadelphia Runners|Loft|Penn Bookstore|Così	5|14|10|3|9	path_12.png
upenn	Go from Cosi straight to Urban Outfitters.	Così|Loft	9|10	path_262.png
upenn	starting at cosi go right to hofban outfitters	Così|Loft	9|10	path_262.png
upenn	Start at Cosi and go to Urban Outfitters	Così|Loft	9|10	path_262.png
upenn	Go from Urban Outfitters to the Annenberg Center, and finish at Philadelphia Runners.	Urban Outfitters|Annenberg Center|Philadelphia Runners	11|5|14	path_264.png
upenn	Start at Urban Outfitters, go to Annenberg Center, then to Philadelphia Runners.	Urban Outfitters|Annenberg Center|Philadelphia Runners	11|5|14	path_264.png
upenn	From Urban Outfitters, head straight to the Annenberg Center and make a right to Philadelphia Runner.	Urban Outfitters|Annenberg Center|Philadelphia Runners	11|5|14	path_264.png
upenn	Starting at Philadelphia Runners, go northwest to Penn Bookstore, then go east to Cosi.	Philadelphia Runners|Penn Bookstore|Così	14|3|9	path_13.png
upenn	Go from Philadelphia Runners to the Penn Bookstore to Cosi.	Philadelphia Runners|Penn Bookstore|Così	14|3|9	path_13.png
upenn	Start at Philadelphia Runners, go to Penn Bookstore, then to Cosi	Philadelphia Runners|Penn Bookstore|Così	14|3|9	path_13.png
upenn	from td bank go right to chilis and than upward to international house	TD Bank|Chili's|International House	6|0|13	path_265.png
upenn	Begin at TD Bank, go to Chili's. End at International House	TD Bank|Chili's|International House	6|0|13	path_265.png
upenn	Begin at TD Bank before heading to Chili's and then to the International House.	TD Bank|Chili's|International House	6|0|13	path_265.png
upenn	Start at Abner's Cheesesteaks then go west to TD Bank.	Abner's Cheesesteaks|TD Bank	8|6	path_266.png
upenn	Start at Abner's Cheesesteaks and to go TD Bank	Abner's Cheesesteaks|TD Bank	8|6	path_266.png
upenn	Go from Abner's Cheesesteaks to TD Bank.	Abner's Cheesesteaks|TD Bank	8|6	path_266.png
upenn	Go from 36th St to Cosi, and then proceed to Annenberg Center, followed by Chili's.	36th St|Così|Annenberg Center|Chili's	7|9|5|0	path_14.png
upenn	Begin at 36th St before heading to Cosi and then Annenberg Center before ending at Chili's.	36th St|Così|Annenberg Center|Chili's	7|9|5|0	path_14.png
upenn	Starting at 36th St go straight until you get to Cosi. Make a right and go straight until you get to Annenberg Center. Make a slight right and go straight and you will arrive at Chili's.	36th St|Così|Annenberg Center|Chili's	7|9|5|0	path_14.png
upenn	Begin at the Annenberg Center. Go to Philadelphia Runners. Then go to the Loft. Then go the International House.	Annenberg Center|Philadelphia Runners|Loft|International House	5|14|10|13	path_15.png
upenn	From Annenberg Center to to Philadelphia Runners, then up to Loft, and over to International House.	Annenberg Center|Philadelphia Runners|Loft|International House	5|14|10|13	path_15.png
upenn	Begin at Annenberg Center, go to Philadelphia Runners, then Loft. End at International House	Annenberg Center|Philadelphia Runners|Loft|International House	5|14|10|13	path_15.png
upenn	Begin at International House, go to Loft, then 36th St. End at Zipcar	International House|Loft|36th St|Zipcar	13|10|7|12	path_267.png
upenn	Start at International House, go to Loft, then to 36th street, then to Zipcar	International House|Loft|36th St|Zipcar	13|10|7|12	path_267.png
upenn	Start at International House then go west to Loft then east to 36th Street then northeast to Zipoar.	International House|Loft|36th St|Zipcar	13|10|7|12	path_267.png
