map_name	utterance	trajectory	path_names	path_idxs
brown	Please head from the Slavery Memorial to the Campus Market.	Slavery Memorial|Campus Market	4|2	path_254.png
brown	Go straight from Slavery Memorial to Campus Market.	Slavery Memorial|Campus Market	4|2	path_254.png
brown	NA	Slavery Memorial|Campus Market	4|2	path_254.png
brown	Go straight from Blue Room to Campus Market and then go straight to Marcus Aurelius.	Blue Room|Campus Market|Marcus Aurelius	1|2|6	path_0.png
brown	starting at blue room head in a 1 0clock direction to campus market.turn left at a 45 degree angle to marcus Aurelius	Blue Room|Campus Market|Marcus Aurelius	1|2|6	path_0.png
brown	Begin in the Blue Room, and travel to the Camping Market. Finally, travel from there to Marcus Aurelius.	Blue Room|Campus Market|Marcus Aurelius	1|2|6	path_0.png
brown	From the War Memorial, fly to Brown Bear, and then to Marcus Aurelius. Next, go to the Campus Market and finally go to the Blue Room.	War Memorial|Brown Bear|Marcus Aurelius|Campus Market|Blue Room	5|7|6|2|1	path_753.png
brown	Go straight from War Memorial to Brown Bear and then go straight to Marcus Aurelius. Then go straight to Campus Market. Lastly, go straight to Blue Room.	War Memorial|Brown Bear|Marcus Aurelius|Campus Market|Blue Room	5|7|6|2|1	path_753.png
brown	war memorial to brown bear to marcus aurelius to campus market to blue room	War Memorial|Brown Bear|Marcus Aurelius|Campus Market|Blue Room	5|7|6|2|1	path_753.png
brown	go from slavery memorial to campus market to marcus aurelius to war memorial to starbucks	Slavery Memorial|Campus Market|Marcus Aurelius|War Memorial|Starbucks	4|2|6|5|0	path_506.png
brown	Start at Slavery Memorial, go to Campus Market, then to Marcus Aurelius. Go to War Memorial, then end at Starbucks.	Slavery Memorial|Campus Market|Marcus Aurelius|War Memorial|Starbucks	4|2|6|5|0	path_506.png
brown	Go from Slavery Memorial to Campus Market, then head to Marcus Aurelius, then War Memorial, and finally go do directly to Starbucks passing over P-131317.	Slavery Memorial|Campus Market|Marcus Aurelius|War Memorial|Starbucks	4|2|6|5|0	path_506.png
brown	Go from Marcus Aurelius to P-131317 to Brown Bear to War Memorial	Marcus Aurelius|P-131317|Brown Bear|War Memorial	6|3|7|5	path_1.png
brown	Go straight from Marcus Aurelius to P-131317 and then go straight to Brown Bear. Lastly, go straight to War Memorial.	Marcus Aurelius|P-131317|Brown Bear|War Memorial	6|3|7|5	path_1.png
brown	Head northeast from Marcus Aurelius until you arrive at P-131317. Then go left from there to arrive at Brown Bear. Once at Brown Bear, go right to reach the War Memorial.	Marcus Aurelius|P-131317|Brown Bear|War Memorial	6|3|7|5	path_1.png
brown	Go straight from Starbucks to War Memorial and then go straight to Brown Bear.	Starbucks|War Memorial|Brown Bear	0|5|7	path_255.png
brown	From Starbucks head to War Memorial and then finish at Brown Bear.	Starbucks|War Memorial|Brown Bear	0|5|7	path_255.png
brown	Starting at Starbucks, head west to War Memorial, then southwest to Brown Bear.	Starbucks|War Memorial|Brown Bear	0|5|7	path_255.png
brown	{}	War Memorial|Brown Bear|Starbucks	5|7|0	path_754.png
brown	Proceed north along the trajectory until you reach the intersection and veer left until you see the white building.	War Memorial|Brown Bear|Starbucks	5|7|0	path_754.png
brown	{}	War Memorial|Brown Bear|Starbucks	5|7|0	path_754.png
brown	Go from Starbucks to the war memorial.	Starbucks|War Memorial	0|5	path_3.png
brown	start at war memorial heading right pass p131317 to starbucks. turn around ending back to war memorial	Starbucks|War Memorial	0|5	path_3.png
brown	Go west from Starbucks past P-131317 until you reach the War Memorial.	Starbucks|War Memorial	0|5	path_3.png
brown	Go from Marcus Aurelius to the Campus Market, and finish at the Blue Room.	Marcus Aurelius|Campus Market|Blue Room	6|2|1	path_507.png
brown	Go from Marcus Aurelius to the Campus Market, and finally go from there to the Blue Room.	Marcus Aurelius|Campus Market|Blue Room	6|2|1	path_507.png
brown	The image is broken.	Marcus Aurelius|Campus Market|Blue Room	6|2|1	path_507.png
brown	Start at the Brown Bear landmark face towards P-131317 and follow that path until you reach the area. From here turn around until you are facing the War Memorial  and follow the short path there. From here turn to the right about 90 degrees then follow the path until you reach the Marcus Aurelius landmark. Turn again to the right until you are facing the final stop Campus Market. Follow the path until you reach the final area.	Brown Bear|P-131317|War Memorial|Marcus Aurelius|Campus Market	7|3|5|6|2	path_5.png
brown	From Brown Bear go slightly NE to P-131317.
From P-131317 go slightly SW to War Memorial.
From War Memorial go SW to Marcus Aurelius.
From Marcus Aurelius go SE to Campus Market.	Brown Bear|P-131317|War Memorial|Marcus Aurelius|Campus Market	7|3|5|6|2	path_5.png
